What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Other;Personal research and aspirations,Canada,Rarely,Healthcare;Economic opportunities;Better living standards,Job uncertainty;Other,Hobbies or physical exercise,I’m not sure,Educational qualification;Financial issues;Family pressure or support,Not sure,No impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Career mentors or teachers;Social media and online success stories,Canada,Rarely,Higher education;Desire for independence;Political stability,Nothing,Talking to family and friends,Yes,Other;Educational qualification;All country Embassy is not in Bangladesh,Not sure,Positive impact,No,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Social media and online success stories;Friends or peer influence;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Better job opportunities;Economic opportunities,Social acceptance;Other;Cultural shock,Professional counseling,Yes,Educational qualification;Job information or experience;Family pressure or support,No,Negative impact,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Desire for independence;Better living standards;Better job opportunities,Job uncertainty;Visa or immigration concerns;Language barriers,Other,No change,Visa or immigration process;Job information or experience;Educational qualification,Yes,Negative impact,No,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Other;Social media and online success stories,Canada,Never,Economic opportunities;Political stability;Higher education,Nothing,Talking to family and friends,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Educational qualification,Yes,Negative impact,No,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,UK,Rarely,Other;Higher education;Desire for independence,Visa or immigration concerns;Language barriers,Other,No,Educational qualification;Visa or immigration process;Family pressure or support,No,Positive impact,Yes,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Never,Economic opportunities;Desire for independence;Better job opportunities,Social acceptance;Cultural shock,Hobbies or physical exercise,Yes,Educational qualification;Job information or experience;Financial issues,Not sure,Not sure,Not Sure,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Social media and online success stories;Friends or peer influence;Career mentors or teachers,UK,Never,Desire for independence;Healthcare;Better job opportunities,Nothing,Other,Yes,Family pressure or support;Educational qualification;Job information or experience,Not sure,Negative impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Healthcare;Higher education,Nothing,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Financial issues;Educational qualification,No,Not sure,Yes,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Other;Personal research and aspirations;Family pressure or support,Australia,Rarely,Political stability;Desire for independence;Better living standards,Visa or immigration concerns;Cultural shock,Joining online forums,No change,Family pressure or support;Visa or immigration process;Financial issues,Not sure,No impact,No,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Economic opportunities;Healthcare;Desire for independence,Nothing,Other,I’m not sure,Financial issues;All country Embassy is not in Bangladesh;Other,No,Not sure,Yes,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Family pressure or support;Personal research and aspirations,Canada,Never,Better job opportunities;Higher education;Better living standards,Job uncertainty,Hobbies or physical exercise,No change,All country Embassy is not in Bangladesh;Job information or experience;Financial issues,Yes,Not sure,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,USA,Never,Other;Desire for independence;Higher education,Visa or immigration concerns;Job uncertainty,Talking to family and friends,I’m not sure,Family pressure or support;All country Embassy is not in Bangladesh;Financial issues,No,Not sure,Not Sure,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Other;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Economic opportunities;Higher education,Cultural shock,Professional counseling,No change,Visa or immigration process;Financial issues;Family pressure or support,Yes,Negative impact,Yes,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Other;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Never,Higher education;Political stability;Other,Nothing,Hobbies or physical exercise,I’m not sure,Financial issues;Family pressure or support;All country Embassy is not in Bangladesh,Not sure,Positive impact,Not Sure,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Family pressure or support;Personal research and aspirations,USA,Never,Economic opportunities;Higher education;Desire for independence,Separation from family,Other,I’m not sure,All country Embassy is not in Bangladesh;Educational qualification;Other,Yes,Not sure,No,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Other;Family pressure or support;Social media and online success stories,UK,Never,Economic opportunities;Higher education;Better living standards,Nothing,Hobbies or physical exercise,Yes,Educational qualification;All country Embassy is not in Bangladesh;Financial issues,Yes,Not sure,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Personal research and aspirations;Friends or peer influence;Social media and online success stories,Australia,Rarely,Other;Political stability;Desire for independence,Job uncertainty;Social acceptance,Professional counseling,No,Visa or immigration process;Educational qualification;Financial issues,Not sure,Negative impact,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Family pressure or support;Friends or peer influence,Australia,Never,Better job opportunities;Desire for independence;Political stability,Nothing,Other,No,Financial issues;Educational qualification;Family pressure or support,Yes,Negative impact,Not Sure,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Rarely,Better job opportunities;Healthcare;Higher education,Social acceptance,Hobbies or physical exercise,I’m not sure,Other;Financial issues;Family pressure or support,No,Positive impact,Not Sure,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Social media and online success stories;Family pressure or support,UK,Rarely,Desire for independence;Better job opportunities;Political stability,Cultural shock,Talking to family and friends,I’m not sure,Other;Job information or experience;Family pressure or support,Yes,Not sure,Yes,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Other;Friends or peer influence,USA,Rarely,Healthcare;Economic opportunities;Better living standards,Nothing,Talking to family and friends,Yes,Family pressure or support;Visa or immigration process;Financial issues,Not sure,No impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Other;Family pressure or support;Personal research and aspirations,UK,Rarely,Higher education;Healthcare;Desire for independence,Language barriers;Visa or immigration concerns;Social acceptance,Professional counseling,I’m not sure,Family pressure or support;Educational qualification;Job information or experience,No,Negative impact,Not Sure,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Social media and online success stories;Friends or peer influence,Canada,Never,Better job opportunities;Economic opportunities;Higher education,Social acceptance;Other;Visa or immigration concerns,Hobbies or physical exercise,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,Not sure,Positive impact,Not Sure,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,Canada,Rarely,Higher education;Healthcare;Better living standards,Language barriers;Visa or immigration concerns,Talking to family and friends,No change,Family pressure or support;Educational qualification;Financial issues,Yes,No impact,No,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,UK,Never,Desire for independence;Higher education;Economic opportunities,Other;Language barriers;Visa or immigration concerns,Hobbies or physical exercise,No,Educational qualification;Financial issues;Job information or experience,Yes,Negative impact,Yes,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A moderate role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,USA,Rarely,Economic opportunities;Political stability;Higher education,Other;Social acceptance;Separation from family,Hobbies or physical exercise,No,All country Embassy is not in Bangladesh;Job information or experience;Visa or immigration process,Not sure,Not sure,No,Yes,1
